Ranking,Cities,Population,Per capita Income
31,"Charlotte–Gastonia–Rock Hill, North Carolina–South Carolina MSA","2,335,440","$23,417 "
32,"Kansas City, Missouri–Kansas MSA","2,053,167","$23,326 "
33,"Des Moines, Iowa MSA","456,022","$23,316 "
34,"Indianapolis, Indiana MSA","1,999,935","$23,198 "
35,"Springfield, Illinois MSA","201,437","$23,074 "
36,"Fort Pierce–Port St. Lucie, Florida MSA","319,426","$23,072 "
37,"Santa Barbara–Santa Maria–Lompoc, California MSA","399,347","$23,059 "
38,"Columbus, Ohio MSA","1,987,911","$23,020 "
39,"Milwaukee–Racine, Wisconsin CMSA","2,240,231","$23,003 "
40,"Cedar Rapids, Iowa MSA","191,701","$22,977 "
41,"Cincinnati–Hamilton, Ohio–Kentucky–Indiana CMSA","2,435,418","$22,947 "
42,"San Diego, California MSA","3,926,941","$22,926 "
43,"Philadelphia-Camden-Atlantic City, Pennsylvania-Delaware-New Jersey MSA","6,138,144","$22,874 "
44,"Burlington, Vermont MSA","169,391","$22,732 "
45,"St. Louis, Missouri–Illinois MSA","2,603,607","$22,698 "
46,"Reno, Nevada MSA","312,000","$22,592 "
47,"Detroit-Flint-Ann Arbor, Michigan MSA","5,270,909","$22,319 "
48,"Albany–Schenectady–Troy, New York MSA","875,583","$22,303 "
49,"Sacramento–Yolo, California CMSA","1,796,857","$22,302 "
50,"Bloomington–Normal, Illinois MSA","150,433","$22,227 "
51,"Iowa City, Iowa MSA","111,006","$22,220 "
52,"Omaha, Nebraska–Iowa MSA","716,998","$22,145 "
53,"Wilmington, North Carolina MSA","233,450","$22,100 "
54,"Huntsville, Alabama MSA","342,376","$22,073 "
55,"Kokomo, Indiana MSA","101,541","$22,029 "
56,"Colorado Springs, Colorado MSA","516,929","$22,005 "
57,"Boulder-Greely Colorado, MSA","714,000","$22,004 "
58,"Harrisburg–Lebanon–Carlisle, Pennsylvania MSA","629,401","$21,936 "
59,"Phoenix–Mesa, Arizona MSA","3,251,876","$21,907 "
60,"Corvallis, Oregon MSA","78,153","$21,868 "
61,"San Luis Obispo–Atascadero–Paso Robles, California MSA","246,681","$21,864 "
62,"Appleton–Oshkosh–Neenah, Wisconsin MSA","358,365","$21,837 "
63,"Punta Gorda, Florida MSA","141,627","$21,806 "
64,"Green Bay, Wisconsin MSA","226,778","$21,784 "
65,"Tampa–St. Petersburg–Clearwater, Florida MSA","2,395,997","$21,784 "
66,"Jacksonville, Florida MSA","1,100,491","$21,763 "
67,"Louisville, Kentucky–Indiana MSA","1,025,598","$21,756 "
68,"Houston–Galveston–Brazoria, Texas CMSA","4,669,571","$21,701 "
69,"Lansing–East Lansing, Michigan MSA","447,728","$21,653 "
70,"Binghamton, New York MSA","1,098,201","$21,627 "
71,"Dayton–Springfield, Ohio MSA","950,558","$21,598 "
72,"Sheboygan, Wisconsin MSA","112,646","$21,509 "
73,"Melbourne–Titusville–Palm Bay, Florida MSA","476,230","$21,484 "
74,"Birmingham, Alabama MSA","921,106","$21,410 "
75,"Peoria–Pekin, Illinois MSA","347,387","$21,402 "
76,"Greensboro–Winston-Salem–High Point, North Carolina MSA","1,251,509","$21,392 "
77,"Roanoke, Virginia MSA","235,932","$21,366 "
78,"Lincoln, Nebraska MSA","250,291","$21,265 "
79,"Pittsfield, Massachusetts MSA","84,699","$21,258 "
80,"Allentown–Bethlehem–Easton, Pennsylvania MSA","637,958","$21,243 "
81,"Lexington, Kentucky MSA","479,198","$21,237 "
82,"Orlando, Florida MSA","1,644,561","$21,232 "
83,"Reading, Pennsylvania MSA","373,638","$21,232 "
84,"Las Vegas, Nevada–Arizona MSA","1,563,282","$21,210 "
85,"Providence–Fall River–Warwick, Rhode Island MSA","1,188,613","$21,208 "
86,"Los Angeles–Riverside–Orange County, California CMSA","16,373,645","$21,170 "
87,"Rockford, Illinois MSA","371,236","$21,145 "
88,"York, Pennsylvania MSA","381,751","$21,086 "
89,"Sioux Falls, South Dakota MSA","172,412","$20,936 "
90,"Pittsburgh, Pennsylvania MSA","2,358,695","$20,935 "
91,"Fort Walton Beach, Florida MSA","170,498","$20,918 "
92,"Topeka, Kansas MSA","169,871","$20,904 "
93,"Columbia, South Carolina MSA","536,691","$20,902 "
94,"Grand Rapids–Muskegon–Holland, Michigan MSA","1,088,514","$20,901 "
95,"Janesville–Beloit, Wisconsin MSA","152,307","$20,895 "
96,"Savannah, Georgia MSA","293,000","$20,752 "
97,"Wausau, Wisconsin MSA","125,834","$20,703 "
98,"Fort Wayne, Indiana MSA","502,141","$20,701 "
99,"Wichita, Kansas MSA","545,220","$20,692 "
100,"Toledo, Ohio MSA","618,203","$20,565 "
101,"Knoxville, Tennessee MSA","687,249","$20,538 "
102,"Davenport–Moline–Rock Island, Iowa–Illinois MSA","359,062","$20,464 "
103,"Miami–Fort Lauderdale, Florida CMSA","3,876,380","$20,454 "
104,"Evansville–Henderson, Indiana–Kentucky MSA","296,195","$20,439 "
105,"Lancaster, Pennsylvania MSA","470,658","$20,398 "
106,"Charleston, West Virginia MSA","251,662","$20,378 "
107,"Norfolk–Virginia Beach–Newport News, Virginia–North Carolina MSA","1,569,541","$20,328 "
108,"Memphis, Tennessee–Arkansas–Mississippi MSA","1,135,614","$20,327 "
109,"Kalamazoo–Battle Creek, Michigan MSA","452,851","$20,324 "
110,"Saginaw–Bay City–Midland, Michigan MSA","403,070","$20,320 "
111,"Boise City, Idaho MSA","432,345","$20,280 "
112,"Little Rock–North Little Rock, Arkansas MSA","724,294","$20,263 "
113,"Elkhart–Goshen, Indiana MSA","182,791","$20,250 "
114,"Jackson, Michigan MSA","158,422","$20,171 "
115,"Salinas, California MSA","401,762","$20,165 "
116,"Canton–Massillon, Ohio MSA","406,934","$20,154 "
117,"Buffalo–Niagara Falls, New York MSA","1,170,111","$20,143 "
118,"Tulsa, Oklahoma MSA","803,235","$20,092 "
119,"Decatur, Illinois MSA","114,706","$20,067 "
120,"Albuquerque, New Mexico MSA","712,738","$20,025 "
121,"Bellingham, Washington MSA","166,814","$20,025 "
122,"Asheville, North Carolina MSA","225,965","$20,010 "
123,"Syracuse, New York MSA","732,117","$20,002 "
124,"Tallahassee, Florida MSA","284,539","$19,990 "
125,"Springfield, Massachusetts MSA","591,932","$19,976 "
126,"Benton Harbor, Michigan MSA","162,453","$19,952 "
127,"Lawrence, Kansas MSA","99,962","$19,952 "
128,"Myrtle Beach, South Carolina MSA","196,629","$19,949 "
129,"Chattanooga, Tennessee–Georgia MSA","465,161","$19,944 "
130,"Fargo–Moorhead, North Dakota–Minnesota MSA","174,367","$19,910 "
131,"Daytona Beach, Florida MSA","493,175","$19,888 "
132,"Columbia, Missouri MSA","135,454","$19,844 "
133,"Richland–Kennewick–Pasco, Washington MSA","191,822","$19,798 "
134,"Tucson, Arizona MSA","843,746","$19,785 "
135,"Ogden, Utah MSA","211,277","$19,781 "
136,"Charleston–North Charleston, South Carolina MSA","549,033","$19,772 "
137,"South Bend, Indiana MSA","265,559","$19,756 "
138,"Greenville–Spartanburg–Anderson, South Carolina MSA","962,441","$19,716 "
139,"Champaign–Urbana, Illinois MSA","179,669","$19,708 "
140,"Eugene–Springfield, Oregon MSA","322,959","$19,681 "
141,"La Crosse, Wisconsin–Minnesota MSA","126,838","$19,649 "
142,"Cheyenne, Wyoming MSA","81,607","$19,634 "
143,"Dubuque, Iowa MSA","89,143","$19,600 "
144,"Bismarck, North Dakota MSA","94,719","$19,572 "
145,"Medford–Ashland, Oregon MSA","181,269","$19,498 "
146,"Jackson, Mississippi MSA","440,801","$19,435 "
147,"Glens Falls, New York MSA","124,345","$19,368 "
148,"Oklahoma City, Oklahoma MSA","1,083,346","$19,366 "
149,"Billings, Montana MSA","129,352","$19,303 "
150,"Muncie, Indiana MSA","118,769","$19,233 "
151,"Spokane, Washington MSA","417,939","$19,233 "
152,"Bangor, Maine MSA","90,864","$19,194 "
153,"St. Cloud, Minnesota MSA","167,392","$19,170 "
154,"Lafayette, Indiana MSA","182,821","$19,095 "
155,"Tyler, Texas MSA","174,706","$19,072 "
156,"Rochester, New York MSA","252,320","$19,067 "
157,"Pensacola, Florida MSA","412,153","$19,054 "
158,"Tuscaloosa, Alabama MSA","164,875","$18,998 "
159,"Rapid City, South Dakota MSA","88,565","$18,938 "
160,"Casper, Wyoming MSA","66,533","$18,913 "
161,"Montgomery, Alabama MSA","333,055","$18,910 "
162,"Lynchburg, Virginia MSA","214,911","$18,887 "
163,"Waterloo–Cedar Falls, Iowa MSA","128,012","$18,885 "
164,"Eau Claire, Wisconsin MSA","148,337","$18,875 "
165,"Baton Rouge, Louisiana MSA","602,894","$18,867 "
166,"Jackson, Tennessee MSA","107,377","$18,863 "
167,"Sherman–Denison, Texas MSA","110,595","$18,862 "
168,"Lewiston–Auburn, Maine MSA","90,830","$18,848 "
169,"Macon, Georgia MSA","322,549","$18,840 "
170,"New Orleans, Louisiana MSA","1,337,726","$18,834 "
171,"Augusta–Aiken, Georgia–South Carolina MSA","477,441","$18,744 "
172,"Duluth–Superior, Minnesota–Wisconsin MSA","243,815","$18,743 "
173,"Owensboro, Kentucky MSA","91,545","$18,739 "
174,"Hickory–Morganton–Lenoir, North Carolina MSA","341,851","$18,723 "
175,"Grand Junction, Colorado MSA","116,255","$18,715 "
176,"Panama City, Florida MSA","148,217","$18,700 "
177,"Dover, Delaware MSA","126,697","$18,662 "
178,"Springfield, Missouri MSA","325,721","$18,611 "
179,"Decatur, Alabama MSA","145,867","$18,577 "
180,"Youngstown–Warren, Ohio MSA","594,746","$18,551 "
181,"Bloomington, Indiana MSA","120,563","$18,534 "
182,"San Antonio, Texas MSA","1,592,383","$18,518 "
183,"Gainesville, Florida MSA","217,955","$18,465 "
184,"Victoria, Texas MSA","84,088","$18,379 "
185,"Fayetteville–Springdale–Rogers, Arkansas MSA","311,121","$18,348 "
186,"Sioux City, Iowa–Nebraska MSA","124,130","$18,339 "
187,"Athens, Georgia MSA","153,444","$18,303 "
188,"Lakeland–Winter Haven, Florida MSA","483,924","$18,302 "
189,"Mansfield, Ohio MSA","175,818","$18,284 "
190,"Elmira, New York MSA","91,070","$18,264 "
191,"Amarillo, Texas MSA","217,858","$18,247 "
192,"Greenville, North Carolina MSA","133,798","$18,243 "
193,"Scranton–Wilkes-Barre–Hazleton, Pennsylvania MSA","624,776","$18,229 "
194,"Florence, Alabama MSA","142,950","$18,205 "
195,"Lima, Ohio MSA","155,084","$18,137 "
196,"Mobile, Alabama MSA","540,258","$18,126 "
197,"St. Joseph, Missouri MSA","102,490","$18,123 "
198,"Parkersburg–Marietta, West Virginia–Ohio MSA","151,237","$18,076 "
199,"State College, Pennsylvania MSA","135,758","$18,020 "
200,"Utica–Rome, New York MSA","299,896","$18,006 "
201,"Erie, Pennsylvania MSA","280,843","$17,932 "
202,"Biloxi–Gulfport–Pascagoula, Mississippi MSA","363,988","$17,899 "
203,"Florence, South Carolina MSA","125,761","$17,876 "
204,"Ocala, Florida MSA","258,916","$17,848 "
205,"Missoula, Montana MSA","95,802","$17,808 "
206,"Johnson City–Kingsport–Bristol, Tennessee–Virginia MSA","480,091","$17,800 "
207,"Dothan, Alabama MSA","137,916","$17,780 "
208,"Redding, California MSA","163,256","$17,738 "
209,"Lake Charles, Louisiana MSA","183,577","$17,710 "
210,"Grand Forks, North Dakota–Minnesota MSA","97,478","$17,679 "
211,"Odessa–Midland, Texas MSA","237,132","$17,642 "
212,"Sharon, Pennsylvania MSA","120,293","$17,636 "
213,"Shreveport–Bossier City, Louisiana MSA","392,302","$17,628 "
214,"Beaumont–Port Arthur, Texas MSA","385,090","$17,616 "
215,"Longview–Marshall, Texas MSA","208,780","$17,576 "
216,"Great Falls, Montana MSA","80,357","$17,566 "
217,"Columbus, Georgia–Alabama MSA","274,624","$17,559 "
218,"Chico–Paradise, California MSA","203,171","$17,517 "
219,"Terre Haute, Indiana MSA","149,192","$17,504 "
220,"Enid, Oklahoma MSA","57,813","$17,457 "
221,"Fayetteville, North Carolina MSA","302,963","$17,376 "
222,"Anniston, Alabama MSA","112,249","$17,367 "
223,"Stockton–Lodi, California MSA","563,598","$17,365 "
224,"San Angelo, Texas MSA","104,010","$17,325 "
225,"Lubbock, Texas MSA","242,628","$17,323 "
226,"Albany, Georgia MSA","120,822","$17,312 "
227,"Williamsport, Pennsylvania MSA","120,044","$17,224 "
228,"Abilene, Texas MSA","126,555","$17,176 "
229,"Waco, Texas MSA","213,517","$17,174 "
230,"Pueblo, Colorado MSA","141,472","$17,163 "
231,"Auburn–Opelika, Alabama MSA","115,092","$17,158 "
232,"Pocatello, Idaho MSA","75,565","$17,148 "
233,"Rocky Mount, North Carolina MSA","143,026","$17,142 "
234,"Wichita Falls, Texas MSA","140,518","$17,113 "
235,"Jonesboro, Arkansas MSA","82,148","$17,091 "
236,"Monroe, Louisiana MSA","147,250","$17,084 "
237,"Texarkana, Texas–Texarkana, Arkansas MSA","129,749","$17,072 "
238,"Danville, Virginia MSA","110,156","$17,061 "
239,"Flagstaff, Arizona–Utah MSA","122,366","$17,056 "
240,"Goldsboro, North Carolina MSA","113,329","$17,010 "
241,"Modesto, California MSA","446,997","$16,913 "
242,"Steubenville–Weirton, Ohio–West Virginia MSA","132,008","$16,911 "
243,"Jamestown, New York MSA","139,750","$16,840 "
244,"Gadsden, Alabama MSA","103,459","$16,783 "
245,"Corpus Christi, Texas MSA","380,783","$16,752 "
246,"Wheeling, West Virginia–Ohio MSA","153,172","$16,748 "
247,"Altoona, Pennsylvania MSA","129,144","$16,743 "
248,"Joplin, Missouri MSA","157,322","$16,653 "
249,"Fort Smith, Arkansas–Oklahoma MSA","207,290","$16,604 "
250,"Killeen–Temple, Texas MSA","312,952","$16,546 "
251,"Hattiesburg, Mississippi MSA","111,674","$16,450 "
252,"Cumberland, Maryland-West Virginia MSA","102,008","$16,409 "
253,"Huntington–Ashland, West Virginia–Kentucky–Ohio MSA","315,538","$16,357 "
254,"Clarksville–Hopkinsville, Tennessee–Kentucky MSA","207,033","$16,339 "
255,"Bryan–College Station, Texas MSA","152,415","$16,212 "
256,"Alexandria, Louisiana MSA","126,337","$16,088 "
257,"Lafayette, Louisiana MSA","385,647","$16,072 "
258,"Yuba City, California MSA","139,149","$15,998 "
259,"Houma, Louisiana MSA","194,477","$15,939 "
260,"Bakersfield, California MSA","661,645","$15,760 "
261,"Johnstown, Pennsylvania MSA","232,621","$15,755 "
262,"Lawton, Oklahoma MSA","114,996","$15,728 "
263,"Sumter, South Carolina MSA","104,646","$15,657 "
264,"Yakima, Washington MSA","222,581","$15,606 "
265,"Provo–Orem, Utah MSA","368,536","$15,557 "
266,"Pine Bluff, Arkansas MSA","84,278","$15,417 "
267,"Fresno, California MSA","922,516","$15,386 "
268,"Jacksonville, North Carolina MSA","150,355","$14,853 "
269,"Yuma, Arizona MSA","160,026","$14,802 "
270,"Merced, California MSA","210,554","$14,257 "
271,"Visalia–Tulare–Porterville, California MSA","368,021","$14,006 "
272,"Las Cruces, New Mexico MSA","174,682","$13,999 "
273,"El Paso, Texas MSA","679,622","$13,421 "
274,"Brownsville–Harlingen–San Benito, Texas MSA","335,227","$10,960 "
275,"Laredo, Texas MSA","193,117","$10,759 "
276,"McAllen–Edinburg–Mission, Texas MSA","569,463","$9,899 "
277,"San Juan–Caguas–Arecibo, Puerto Rico CMSA","2,450,292","$9,140 "
278,"Mayagüez, Puerto Rico MSA","253,347","$7,730 "
279,"Ponce, Puerto Rico MSA","361,094","$6,530 "
280,"Aguadilla, Puerto Rico MSA","146,424","$6,378 "
